900,,,792,,,611,,,471,,,380,,,280,,,177,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,i,p,v,,,,,,,,,,,,,,,,,,,,,,0.0262,,,,,,,,,,,,
,,,,,,,,,,,,0.04789999,0.2440774,5.095562,0.1663,0.7941849,4.775616,0.1041,0.3224428,3.097434,0.0557,0.1032849,1.854307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04789999,0.2432915,5.079155,0.1662,0.7909803,4.759208,0.104,0.3242661,3.117943,0.0558,0.1034703,1.854307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0476,0.2413773,5.070951,0.1658,0.7965577,4.804329,0.1028,0.3222112,3.13435,0.0553,0.1039042,1.878918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2443901,5.091461,0.1628,0.7834803,4.812533,0.103,0.3224156,3.130249,0.0558,0.1053014,1.887122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2421954,5.066849,0.1646,0.7961939,4.837144,0.103,0.3270894,3.175626,0.0552,0.1037163,1.878918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2425875,5.075053,0.1643,0.7994603,4.865857,0.1026,0.3245566,3.16332,0.0549,0.102477,1.866613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2425875,5.075053,0.1637,0.7972124,4.869959,0.1022,0.3258066,3.187931,0.0547,0.1041231,1.90353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2423915,5.070951,0.163,0.7971464,4.890469,0.1019,0.3248502,3.187931,0.0547,0.1043474,1.907631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0475,0.2406753,5.066849,0.1629,0.7986619,4.902774,0.1016,0.3234771,3.183829,0.0545,0.1046366,1.919937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2441932,5.087359,0.162,0.7922559,4.890469,0.1011,0.3227145,3.192033,0.0542,0.1049499,1.936345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04789999,0.2428986,5.070951,0.1542,0.7623329,4.943793,0.1009,0.3253872,3.224848,0.0545,0.104413,1.915835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04789999,0.2432915,5.079155,0.1613,0.8000803,4.9602,0.1009,0.3282843,3.253561,0.054,0.1027906,1.90353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2421954,5.066849,0.1541,0.7687915,4.988914,0.1006,0.325245,3.233052,0.05349999,0.1042528,1.94865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04789999,0.2432915,5.079155,0.1394,0.6983135,5.009423,0.1003,0.3263322,3.253561,0.05339999,0.1029627,1.928141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0482,0.2456061,5.095562,0.1303,0.6516589,5.001219,0.09929999,0.3251152,3.274071,0.0538,0.1046167,1.944548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2425875,5.075053,0.1145,0.5768666,5.038136,0.09939999,0.3254426,3.274071,0.05339999,0.1049341,1.965058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2435679,5.095562,0.1077,0.5412819,5.025831,0.09939999,0.3270735,3.290478,0.0529,0.1037346,1.960956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0483,0.2461157,5.095562,0.0991,0.4980598,5.025831,0.0991,0.3289318,3.319191,0.053,0.1045829,1.973261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.244587,5.095562,0.0902,0.4548099,5.042238,0.0984,0.3253975,3.306886,0.0529,0.1037346,1.960956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0477,0.2422757,5.079155,0.0863,0.4362072,5.054544,0.0982,0.3267502,3.327395,0.05279999,0.1035385,1.960956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0477,0.24208,5.075053,0.0801,0.4061832,5.070951,0.09799999,0.3268887,3.335599,0.0525,0.1044576,1.989669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04789999,0.2448633,5.11197,0.0787,0.3968242,5.042238,0.0974,0.3248873,3.335599,0.0525,0.1044576,1.989669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.04789999,0.2436845,5.087359,0.07589999,0.3836399,5.054544,0.09719999,0.3270111,3.364312,0.0524,0.1044736,1.993771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0482,0.2460015,5.103766,0.07479999,0.3780799,5.054544,0.0981,0.3316486,3.38072,0.0523,0.1042742,1.993771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.244587,5.095562,0.07279999,0.368568,5.062747,0.0973,0.3297422,3.388923,0.0521,0.1051577,2.018382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.0478,0.2423915,5.070951,0.07139999,0.361773,5.066849,0.0969,0.3307715,3.413535,0.0521,0.1043029,2.001975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0.048,0.2439963,5.083257,0.07059999,0.3571404,5.058646,0.0968,0.329239,3.401229,0.0521,0.1047303,2.010178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
